Subject Common Name,Subject Org Name,Country Name,Org Unit Name,Validity Period,Key Signature,Serial Number,SHA1,SHA2,Issuer Subject Common Name,Issuer Subject Org Name,Issuer Country,Issuer Org Unit Name
Yaana,"Yaana Technologies, LLC",US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-01-06 => 2025-01-05,RSA 2048 / sha256WithRSAEncryption,24780201934a5b2740d65d3a46c56d9c,2C6AAC7347B4F04A11219B7E044E1537EDB95B3D,7C73C0E9D52BC63E713110DA4705C7CECCB4D49F1F5FED0B6D1A707E63A4E31C,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Plex Devices High Assurance CA,"Plex, Inc.",US,,2015-01-14 => 2025-01-14,RSA 2048 / sha256WithRSAEncryption,0e390db57e6716959264de50f3ed592f,5DDA5309DD4ADD68D22ADF61A1DD9EB39EC67480,48A7C9C5A36734FC9E204D63CE6BBBCD9E21C1978604760CD8D30D6F4C67B67C,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
NGA CA G3,National Geospatial-Intelligence Agency,US,,2020-02-05 => 2025-02-05,RSA 2048 / sha256WithRSAEncryption,0e8a31cb2b471c2d7631cb3f10e95545,92AEF696D7FB7A25D78E0A0F29555B9028149C84,357985D17EF02893AB63FE0EE4C464B8AD3A4B05EF72B27AE73D7258C8996FB8,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
NBN Co Limited Public Issuing CA - G2,NBN Co Limited,AU,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-02-10 => 2025-02-09,RSA 2048 / sha256WithRSAEncryption,5ea880b36c55681682203f11e48327f4,9BFB825F23B8D69BF1FFF1840DFCAC83D7EE1B10,758F496C9928A3C67E0D50D03D2E2CAAFF733D427E57AB5FEE7D5AC4153C4071,Symantec Class 2 Public Primary Certification Authority - G6,Symantec Corporation,US,Symantec Trust Network
Thomson Reuters Special Services CA,Thomson Reuters Special Services LLC,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-03-05 => 2025-03-04,RSA 2048 / sha256WithRSAEncryption,7926c71d3974e1432399a1455c01978a,E60ADAC957C0F07D791DA6583A81D5312217DA02,BFC05BC249D92B892CE288A0E85F0E96BB9150F741719D9B73EB41EB89D49241,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Hewlett Packard Enterprise Collaboration CA,Hewlett Packard Enterprise Company,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-03-17 => 2025-03-16,RSA 2048 / sha256WithRSAEncryption,2352c53c5d8cd0e3c80b3ab061ecb63d,A2B85983B4222F8E1FF5E068895E0CC3D915DE6C,2EAA4251B3FFDD3AE904833A08B7FE1E7717C17082455C07F6F6DA902CBAC5D0,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
ZIPAIR-Public-CA,"ZIPAIR Tokyo, K.K.",JP,,2020-03-25 => 2025-03-25,RSA 2048 / sha256WithRSAEncryption,0e6d2e238465ef0998ffca9572fbef5d,23A04C4CDCA7E3F75EDD984E0ADBFA41C0791101,7E882B1CC5439B7FB95A05943C5A8F40DAE75AADBB6B624C55EDD94624EFA0E3,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure CA2,Aetna Inc,US,,2021-03-30 => 2025-03-29,RSA 2048 / sha256WithRSAEncryption,0274a707adcb32ce4dc363ae3bc7ac30,2E1D8C46E9CF3F9D722AAFABF01DD84A57E16A05,428B87B8061A79ABA75877FD0383ADB831A1459B86BC408CE7D8D17B295B75BB,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure EV CA,Aetna Inc,US,,2021-03-30 => 2025-03-29,RSA 2048 / sha256WithRSAEncryption,083f0cf1d640df83dd218b3d57808efe,A84DDD129C221D2F744A4107DBFE77D9869A01F8,8B6CCC3BE92F0121E6494AC704BF0B9B9CEBBA2E363C8E8122D90984D3EBF386,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Plex Devices High Assurance CA3,"Plex, Inc.",US,,2021-03-30 => 2025-03-29,RSA 2048 / sha256WithRSAEncryption,0b6cbd47700e4706e7e443eeed9f6d3a,E6D5172923A6D22114AB0BD6C87AF32EE2E4771F,1316ED42A849217D51CFB4DE1A1418A8D3A77902FB305D3024F72D4636B82FF0,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Symantec Class 2 Shared Intermediate Certificate Authority - G2,Symantec Corporation,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-04-23 => 2025-04-22,RSA 2048 / sha256WithRSAEncryption,1bc530dd2df052e80d3606d48df65f92,6E24A9545834E2CF2C51CFD492A2129403A82F45,68E63395029061641385B8AFF77F6D66F2D1FD87A821630D27EC3645C9FE235D,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Optum Public Trust CA 1,Optum,US,,2015-04-28 => 2025-04-28,RSA 2048 / sha256WithRSAEncryption,01b74ed7e1bab54ee1e27e9c59acb5b6,72AAFBD5D68BB0B427CCA3FF6A09CD0298B5A43B,253E3C9732DF8874C3D54DA522C1711142C98C2CEA7664635152A89A03EE9364,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
DigiCert Baltimore CA-1 G2,DigiCert Inc,US,www.digicert.com,2015-10-14 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,05da0deca735a1bc5c36d51ed5ead7ba,759540EAE3C302BC3E0E2443C1C2E435B52B8E8D,BF1CB0E213D8D3C70BAE89429FC16DE2C74F755963D1B9B488BD0260DBC91B9C,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
DigiCert Baltimore CA-2 G2,DigiCert Inc,US,www.digicert.com,2015-12-08 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,0182f8098ea2e626b91a3b27841fb9af,A9D53002E97E00E043244F3D170D6F4C414104FD,F9690880819F06CDCC0B2F224B207F2AF6003FB57339B8679A160FA95208D62D,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
DigiCert Baltimore EV CA,DigiCert Inc,US,www.digicert.com,2015-10-14 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,09ccdc9f99344b52d37b305376d6c2c5,F8D0BE9D0D96F15B435B6F8B1DA375818F356663,D46931E0182DD655EA0C16E6DD99F8E61AFFE401F734C6CA8EA0056A968EAF81,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com,2016-12-07 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,0f5bc3a176cb789e2020c7893c8167b4,FB20FA8A6A93B375F054814F9E00273EA51A6138,6DACBB8945137B1DAD4211B0436EFBE06F12ACE36904973B45AE25740823D369,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com,2016-12-07 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,03bad1d3f56cf1218e8def57dc4195bb,2B723184E84F8F7A675ADF5AFF8B38FA65878083,CBF8FB77660167E6BAACD0DF77CDA397D0117EE2BEEA23B935317F8BB5B5E3B0,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Trust Technologies Global CA,Telecom Italia Trust Technologies S.r.l.,IT,Digital Identity and Security,2017-08-24 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,05f2d7efd8c6bbed2da22ee8dc74b30f,B06C452D64C880C712EC5D6E1243021988A58B82,191E0B48B78B7EFA4822A465AD69B34405B878D10BD853D8E57CB8B9D9E50B8B,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Trust Technologies Global Client CA,Telecom Italia Trust Technologies S.r.l.,IT,Digital Identity and Security,2017-08-24 => 2025-05-10,RSA 2048 / sha256WithRSAEncryption,015c70daf2223843d438d8f004d900c2,B93C1FA6B77C47F568653C6B248AADDA4A8B5062,AA6A2380A7E8254DAD4620AE0895DE74047F33F5268758DCF27C4D280B384A50,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
DigiCert Baltimore SMIME RSA SHA256 2020 CA1,DigiCert Inc,US,,2020-09-24 => 2025-05-11,RSA 2048 / sha256WithRSAEncryption,0b2b0924040197da8493f6cbf00ad9d5,96B24A4064B35DC9A8B02BE12515F7CFA65F8885,D1E87FFD17F95602571D08ADBDA469A04B14258996EC09776CD953582AF0B87E,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
DigiCert Baltimore TLS RSA SHA256 2020 CA1,DigiCert Inc,US,,2020-09-24 => 2025-05-11,RSA 2048 / sha256WithRSAEncryption,0a81fd9382c2a4d746f0f8681f2a3b40,8EA108B3DCF40C7A66050C9202E018CDA8413F9D,38F73647F1ECAEEC0FC5AFE68AC30E0C26171E9F232F4530729412408FD53626,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
MSFT BALT RS256 CA,Microsoft Corporation,US,,2022-04-07 => 2025-05-11,RSA 4096 / sha256WithRSAEncryption,07d26a58f0f1e068c594677c641b80f8,B978FDCCBB56F594B780C8DD4F16FAC7BF382861,069DF2F8919D9209D0C524A56BA1181DF6D1BBFC4AA61C9F01D092E2D5C3A1FD,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Baltimore CyberTrust Root,Baltimore,IE,CyberTrust,2000-05-12 => 2025-05-12,RSA 2048 / sha1WithRSAEncryption,020000b9,D4DE20D05E66FC53FE1A50882C78DB2852CAE474,16AF57A9F676B0AB126095AA5EBADEF22AB31119D644AC95CD4B93DBF3F26AEB,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Nedbank Limited Public CA,Nedbank Limited,ZA,Class 2 DigiCert PKI Platform Individual Subscriber CA,2019-07-02 => 2025-05-12,RSA 2048 / sha256WithRSAEncryption,09c15865f5600e7f8761547a080de87e,8B26C95DC41034493132A07485D06A029F87A9F5,4946337D3954305F36770EE8317F67CFEFF3943576828BF55C1538476B4A20D8,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Baltimore TLS RSA SHA256 2020 CA1,DigiCert Inc,US,,2021-04-22 => 2025-05-12,RSA 2048 / sha256WithRSAEncryption,098e56eb16af835a22745de642607cca,7752CF2BB8135EBB8E6AF8ECA4BCC547D100C572,701317250210AB91280527C3B436931015B8DCEE69A6893ADA4FFAD25A6FE44F,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
Sonavation IoT CA,"Sonavation, Inc.",US,sonavation.com,2015-05-19 => 2025-05-19,RSA 2048 / sha256WithRSAEncryption,0bf4a7ae22e5109daf9398231cc3db3c,1A5FC12EDFE788C8EDA1DB1FF6C412FD32E7F387,4C56CA7A3C10EB58765E0FFCF8035C57C9F3BDB014862F676756CF789193F10E,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Plex Devices High Assurance CA2,"Plex, Inc.",US,,2015-05-19 => 2025-05-19,RSA 2048 / sha256WithRSAEncryption,0da3784d303377f0b50bcbcedcaaa33a,56DD6095426F418FC6908BFEA3C53E2039FD5784,50D3D71FC0CD7E36ADAE32221FEFBE8CC29B2676BA326C09B8FA1B24DBE75514,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Plex Devices High Assurance CA3,"Plex, Inc.",US,,2020-09-24 => 2025-05-19,RSA 2048 / sha256WithRSAEncryption,0620497cb9ed14da0e88f5ae286f96a8,0C956FA407CCD875FC513458BBB7E5AF23CE1129,FB6060848440AA4594FE8109741EFAB40C56732B26C67C36D6DC945BB2FE13CF,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Fuji Xerox Businessforce CA - G2,Fuji Xerox Businessforce Pty. Limited,AU,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-06-04 => 2025-06-03,RSA 2048 / sha256WithRSAEncryption,3d1a943cca7282e84c5e8c1f5bca5cad,2226A3A309711B9C22EBEB2E6514F24F863D1D0B,92587CDC27A5C019B413AA94D21944AC8562E8DAA8C78AEA17C623D1B77714DE,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
City of New York Office of the Actuary - G2,City of New York,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-06-11 => 2025-06-10,RSA 2048 / sha256WithRSAEncryption,702fc4a294f0708d77cc93e90fe384ad,AF5300414911F5DBF35BE45B0769BAC5684272BB,A3E2E9FDC693C7536CD3A9ABC8E09705C113DD391635C6239BBFF21DA258C96F,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Collaboration Certification Authority,HP Inc,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-06-11 => 2025-06-10,RSA 2048 / sha256WithRSAEncryption,6366c803f88c0e9c562bdd34fc90e1bd,7982439344C7B993A6FD263012412E3708B12AFA,B864FF6DE0CB1BEAF6AA5C68DB8769C91F18E1721E22AC3ECDD91C0889D77078,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
GE Enterprise SMIME CA 2.1,General Electric Company,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-06-16 => 2025-06-15,RSA 2048 / sha256WithRSAEncryption,4535cef4421f8a410740f32c91b5c031,2CFCA49517FA21112B82DABFFC9AED494014B910,5C854634778E6DDC076ABAA36E5B8F4F45140578BD3A45AF09B7F23C34F032AD,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
LfA Foerderbank Bayern - G2,LfA Foerderbank Bayern,DE,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-06-16 => 2025-06-15,RSA 2048 / sha256WithRSAEncryption,2469d0d0d87b1b8fe65473d2e50e1979,2AD30E4D1BB78693D8E824857E72DA126F04C977,315AC96789B49D48A1C420F32F9A4A73F4871AF75A4CA53CF41CE3FB3E2E76FC,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
University of Houston CA - G2,University of Houston,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-06-18 => 2025-06-17,RSA 2048 / sha256WithRSAEncryption,7052a61d92defd2e950c978a345daf3c,1281EDA2120FA625E443C848C132E450C5A17247,69FF03E05230DFD61E4D6F6DD6662808C65A85CBE8FEA5E43FBF387128E8B4F4,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
State Street Bank and Trust - Global Markets CA,State Street Bank and Trust Company,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-07-10 => 2025-07-09,RSA 2048 / sha256WithRSAEncryption,6a0abd9d3978e43108a4a850e5d26ab8,DAAE31C71C3C562857F18A1BB5F3793738DC0CC9,2C68D776FFD51155D98957A66043F896E2BC69CB1943570389350057A2C70616,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
GE SMIME Issuing CA 2.1,General Electric Company,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-07-16 => 2025-07-15,RSA 2048 / sha256WithRSAEncryption,705e2adf8b65bf210b1a3ebea1896c1f,3D48F5E9766145193F687E776FC7C324717B638C,6BE39EC9E02D54008A7A716DD35A3D2F0A1FD8F8F34DAE235446150C6F48BC7E,Symantec Class 2 Public Primary Certification Authority - G6,Symantec Corporation,US,Symantec Trust Network
GE SMIME Issuing CA 2.1,General Electric Company,US,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-07-16 => 2025-07-15,RSA 2048 / sha256WithRSAEncryption,2e1dd06907726cad32b11714d6df2f,C08A01EFCDDA19DAEEB6B8CE7A0F109107B67165,2D53B8177062E4C7CEA79EEBF62BFA52A5B18BC9B89483597E5714E4E9B52315,Symantec Class 2 Public Primary Certification Authority - G6,Symantec Corporation,US,Symantec Trust Network
